" Nom Ville ";"MAJ   ";" Code Postal ";" Code INSEE ";"Code Région";" Latitude ";" Longitude ";" Eloignement "
"Goin";"GOIN";57420;57251;41;"48.983333";"6.216667";"0"
"Goincourt";"GOINCOURT";60000;60277;22;"49.433333";"2.033333";"0"
"Golancourt";"GOLANCOURT";60640;60278;22;"49.7";"3.066667";"0"
"Golbey";"GOLBEY";88190;88209;11;"48.2";"6.433333";"0"
"Golfech";"GOLFECH";82400;82072;11;"44.116667";"0.866667";"0"
"Golinhac";"GOLINHAC";12140;12110;73;"44.616667";"2.583333";"0"
"Golleville";"GOLLEVILLE";50390;50207;25;"49.433333";"-1.516667";"0"
"Gombergean";"GOMBERGEAN";41310;41098;24;"47.65";"1.083333";"0"
"Gomelange";"GOMELANGE";57220;57252;41;"49.25";"6.466667";"0"
"Gomer";"GOMER";64420;64246;72;"43.25";"-0.183333";"0"
"Gometz-la-Ville";"GOMETZ LA VILLE";91400;91274;82;"48.666667";"2.116667";"0"
"Gometz-le-Châtel";"GOMETZ LE CHATEL";91940;91275;82;"48.683333";"2.133333";"0"
"Gomiécourt";"GOMIECOURT";62121;62374;31;"50.133333";"2.8";"0"
"Gommegnies";"GOMMEGNIES";59144;59265;31;"50.266667";"3.716667";"0"
"Gommenec'h";"GOMMENEC H";22290;22063;53;"48.65";"-3.05";"0"
"Gommersdorf";"GOMMERSDORF";68210;68107;72;"47.633333";"7.133333";"0"
"Gommerville";"GOMMERVILLE";28310;28183;0;"0.0";"0.0";"0"
"Gommerville";"GOMMERVILLE";76430;76303;23;"49.55";"0.366667";"0"
"Gommerville";"GOMMERVILLE";28310;28183;24;"48.35";"1.95";"0"
"Gommécourt";"GOMMECOURT";78270;78276;11;"49.0113205";"1.5061417";"0"
"Gommécourt";"GOMMECOURT";62111;62375;31;"50.133333";"2.65";"0"
"Gomméville";"GOMMEVILLE";21400;21302;26;"47.966667";"4.5";"0"
"Gomont";"GOMONT";8190;8195;21;"49.5";"4.166667";"0"
"Gonaincourt";"GONAINCOURT";52150;52224;72;"48.216667";"5.6";"0"
"Gonas";"GONAS";38290;38911;82;"45.65";"5.166667";"0"
"Goncelin";"GONCELIN";38570;38181;82;"45.333333";"5.983333";"0"
"Gondecourt";"GONDECOURT";59147;59266;31;"50.55";"2.983333";"0"
"Gondenans-Montby";"GONDENANS MONTBY";25340;25276;43;"47.433333";"6.45";"0"
"Gondenans-les-Moulins";"GONDENANS LES MOULINS";25680;25277;43;"47.466667";"6.383333";"0"
"Gondeville";"GONDEVILLE";16200;16153;54;"45.666667";"-0.15";"0"
"Gondrecourt-Aix";"GONDRECOURT AIX";54800;54231;41;"49.25";"5.766667";"0"
"Gondrecourt-le-Château";"GONDRECOURT LE CHATEAU";55130;55215;41;"48.516667";"5.5";"0"
"Gondreville";"GONDREVILLE";60117;60279;22;"49.216667";"2.95";"0"
"Gondreville";"GONDREVILLE";54840;54232;41;"48.7";"5.966667";"0"
"Gondrexange";"GONDREXANGE";57142;57253;41;"48.683333";"6.933333";"0"
"Gondrexon";"GONDREXON";54450;54233;41;"48.6";"6.766667";"0"
"Gondrin";"GONDRIN";32330;32149;91;"43.883333";"0.25";"0"
"Gonesse";"GONESSE";95500;95277;11;"48.9849409";"2.4568576";"0"
"Gonez";"GONEZ";65350;65204;72;"43.233333";"0.216667";"0"
"Gonfaron";"GONFARON";83590;83067;11;"43.316667";"6.283333";"0"
"Gonfreville";"GONFREVILLE";50190;50208;25;"49.233333";"-1.4";"0"
"Gonfreville-Caillot";"GONFREVILLE CAILLOT";76110;76304;23;"49.65";"0.433333";"0"
"Gonfreville-l'Orcher";"GONFREVILLE L ORCHER";76700;76305;23;"49.5";"0.233333";"0"
"Gonnehem";"GONNEHEM";62920;62376;31;"50.566667";"2.566667";"0"
"Gonnelieu";"GONNELIEU";59231;59267;31;"50.05";"3.15";"0"
"Gonnetot";"GONNETOT";76730;76306;23;"49.766667";"0.9";"0"
"Gonneville";"GONNEVILLE";50330;50209;25;"49.633333";"-1.466667";"0"
"Gonneville-en-Auge";"GONNEVILLE EN AUGE";14810;14306;25;"49.266667";"-0.183333";"0"
"Gonneville-la-Mallet";"GONNEVILLE LA MALLET";76280;76307;23;"49.633333";"0.216667";"0"
"Gonneville-sur-Honfleur";"GONNEVILLE SUR HONFLEUR";14600;14304;25;"49.4";"0.25";"0"
"Gonneville-sur-Mer";"GONNEVILLE SUR MER";14510;14305;25;"49.283333";"-0.033333";"0"
"Gonneville-sur-Scie";"GONNEVILLE SUR SCIE";76590;76308;23;"49.75";"1.083333";"0"
"Gonsans";"GONSANS";25360;25278;43;"47.233333";"6.3";"0"
"Gonvillars";"GONVILLARS";70400;70270;72;"47.533333";"6.633333";"0"
"Gonzeville";"GONZEVILLE";76560;76309;23;"49.766667";"0.816667";"0"
"Goos";"GOOS";40180;40113;72;"43.733333";"-0.9";"0"
"Gorbio";"GORBIO";6500;6067;93;"43.783333";"7.45";"0"
"Gordes";"GORDES";84220;84050;93;"43.9";"5.2";"0"
"Gorenflos";"GORENFLOS";80690;80380;11;"50.083333";"2.033333";"0"
"Gorges";"GORGES";44190;44064;52;"47.1";"-1.3";"0"
"Gorges";"GORGES";50190;50210;25;"49.266667";"-1.4";"0"
"Gorges";"GORGES";80370;80381;11;"50.116667";"2.166667";"0"
"Gorhey";"GORHEY";88270;88210;11;"48.2";"6.283333";"0"
"Gornac";"GORNAC";33540;33189;72;"44.666667";"-0.183333";"0"
"Gorniès";"GORNIES";34190;34115;91;"43.9";"3.633333";"0"
"Gorre";"GORRE";87310;87073;72;"45.733333";"0.983333";"0"
"Gorrevod";"GORREVOD";1190;1175;82;"46.416667";"4.95";"0"
"Gorron";"GORRON";53120;53107;52;"48.416667";"-0.816667";"0"
"Gorses";"GORSES";46210;46125;73;"44.783333";"2.05";"0"
"Gorze";"GORZE";57680;57254;41;"49.05";"6.0";"0"
"Gosnay";"GOSNAY";62199;62377;31;"50.516667";"2.583333";"0"
"Gosné";"GOSNE";35140;35121;53;"48.25";"-1.466667";"0"
"Gosselming";"GOSSELMING";57930;57255;41;"48.783333";"7.0";"0"
"Gotein-Libarrenx";"GOTEIN LIBARRENX";64130;64247;72;"43.2";"-0.9";"0"
"Gottenhouse";"GOTTENHOUSE";67700;67161;73;"48.716667";"7.366667";"0"
"Gottesheim";"GOTTESHEIM";67490;67162;73;"48.766667";"7.483333";"0"
"Gouaix";"GOUAIX";77114;77208;11;"48.483333";"3.283333";"0"
"Goualade";"GOUALADE";33840;33190;72;"44.3";"-0.15";"0"
"Gouarec";"GOUAREC";22570;22064;53;"48.216667";"-3.183333";"0"
"Gouaux";"GOUAUX";65440;65205;72;"42.866667";"0.366667";"0"
"Gouaux-de-Larboust";"GOUAUX DE LARBOUST";31110;31221;72;"42.8";"0.483333";"0"
"Gouaux-de-Luchon";"GOUAUX DE LUCHON";31110;31222;72;"42.85";"0.616667";"0"
"Gouberville";"GOUBERVILLE";50330;50211;25;"49.683333";"-1.316667";"0"
"Gouchaupré";"GOUCHAUPRE";76630;76310;23;"49.933333";"1.3";"0"
"Goudargues";"GOUDARGUES";30630;30131;91;"44.216667";"4.466667";"0"
"Goudelin";"GOUDELIN";22290;22065;53;"48.6";"-3.016667";"0"
"Goudet";"GOUDET";43150;43101;72;"44.883333";"3.916667";"0"
"Goudex";"GOUDEX";31230;31223;72;"43.366667";"0.95";"0"
"Goudon";"GOUDON";65190;65206;72;"43.25";"0.233333";"0"
"Goudourville";"GOUDOURVILLE";82400;82073;11;"44.116667";"0.916667";"0"
"Gouesnach";"GOUESNACH";29950;29060;53;"47.916667";"-4.116667";"0"
"Gouesnou";"GOUESNOU";29850;29061;53;"48.45";"-4.466667";"0"
"Gouex";"GOUEX";86320;86107;11;"46.366667";"0.683333";"0"
"Gougenheim";"GOUGENHEIM";67270;67163;73;"48.7";"7.566667";"0"
"Gouhelans";"GOUHELANS";25680;25279;43;"47.45";"6.35";"0"
"Gouhenans";"GOUHENANS";70110;70271;72;"47.6";"6.466667";"0"
"Gouillons";"GOUILLONS";28310;28184;0;"0.0";"0.0";"0"
"Gouillons";"GOUILLONS";28310;28184;24;"48.35";"1.833333";"0"
"Gouise";"GOUISE";3340;3124;83;"46.416667";"3.433333";"0"
